global_test_index,shard,row,event_id,detector,run_number,cohort,energy_keV,baseline_mean_adc,max_abs_amplitude_adc,baseline_rms_adc,normalized_baseline_rms
221,0,221,2395319,133,50928,Middle energy,238.73570229765028,58.7525,595.2475,2.0846147725663573,0.0035020975087627906
297,0,297,2395395,133,50928,High energy,2272.0583805413917,59.05,5640.95,2.199431744792409,0.00038990447892324834
748,0,748,2395846,133,50928,High energy,1101.2869511470199,58.74,2737.26,2.1615735009485144,0.000789685109800377
779,0,779,2395877,133,50928,Middle energy,241.77074977662414,58.3075,606.6925,2.2309730220245023,0.003677271442806959
2345,0,2345,2397443,133,50928,Middle energy,286.97135644685477,58.575,717.425,3.4226269151049142,0.004770710506393196
3127,0,3127,2398225,133,50928,Middle energy,278.0684431530535,58.55125,690.4487,2.1859884063050767,0.0031660401890107326
4219,0,4219,2399317,133,50928,High energy,669.023125202395,58.365,1667.635,4.64131177578094,0.0027831700205652515
5473,0,5473,2400571,133,50928,High energy,511.31026864238083,58.07625,1278.9237,3.460080156225193,0.002705462510098146
6088,0,6088,2401186,133,50928,Middle energy,239.51882069185376,58.41,599.59,2.119410295341613,0.0035347657406326976
6350,0,6350,2401448,133,50928,Middle energy,238.8540705582127,58.585,598.415,1.839232176752255,0.003073506250925669
9341,0,9341,2404439,133,50928,Middle energy,238.35200497880578,58.275,593.725,2.3386694935373677,0.003938977803930239
9418,0,9418,2404516,133,50928,High energy,2189.372360624373,52.645,5446.355,1.8812163618255635,0.0003454083267835634
9812,0,9812,2404910,133,50928,Low energy,226.57942303083837,58.625,569.375,3.2991476171884155,0.005794331689141081
10860,0,10860,2405958,133,50928,Middle energy,238.9242077311501,56.585,597.415,1.5661337746185153,0.002621517401326539
11160,0,11160,2406258,133,50928,Middle energy,360.3677001716569,56.46,900.54,1.6517869111967312,0.0018342182959776635
11249,0,11249,2406347,133,50928,Middle energy,316.8243977194652,55.83,792.17,3.618162517080093,0.004567406742136334
12109,0,12109,2407207,133,50928,Low energy,157.9752444466576,56.076874,396.92313,2.858947782292725,0.007202774553797644
13543,0,13543,2408641,133,50928,Middle energy,427.1847114460543,57.45,1069.55,4.787222576818482,0.004475922030424061
13990,0,13990,2409088,133,50928,Middle energy,238.42845571227372,56.57,594.43,6.197991610191167,0.010426781440501028
